user_id,item_id
1,"[1, 0, 0, 0, 0, 6, 0, 8, 0, 0, 0, 12, 0, 14, 0, 16, 17, 18, 0, 0]"
2,"[0, 2, 3, 0, 5, 6, 0, 0, 0, 10, 11, 0, 0, 0, 15, 0, 0, 0, 0, 20]"
3,"[0, 2, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 14, 15, 0, 0, 18, 0, 0]"
4,"[0, 2, 3, 4, 0, 6, 0, 0, 0, 0, 0, 0, 13, 14, 0, 0, 17, 0, 0, 20]"
5,"[1, 0, 0, 4, 0, 0, 0, 0, 9, 10, 11, 0, 0, 14, 15, 0, 17, 18, 0, 20]"
6,"[1, 0, 0, 0, 0, 0, 0, 0, 9, 10, 11, 0, 13, 0, 0, 0, 17, 18, 19, 0]"
7,"[1, 2, 0, 4, 0, 6, 7, 8, 9, 0, 0, 0, 13, 0, 0, 0, 17, 18, 19, 20]"
8,"[0, 2, 0, 0, 5, 0, 7, 8, 0, 0, 0, 12, 13, 0, 0, 16, 17, 0, 19, 0]"
9,"[1, 0, 3, 0, 5, 0, 7, 8, 9, 0, 0, 0, 13, 0, 15, 0, 0, 0, 0, 20]"
10,"[0, 0, 3, 4, 5, 0, 0, 8, 0, 0, 0, 12, 0, 0, 0, 0, 0, 18, 19, 20]"
11,"[0, 0, 0, 4, 0, 0, 0, 8, 9, 10, 0, 0, 0, 0, 15, 0, 0, 0, 0, 20]"
12,"[1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 18, 0, 20]"
13,"[1, 0, 3, 0, 5, 6, 0, 0, 0, 10, 0, 12, 0, 0, 15, 16, 0, 18, 19, 0]"
14,"[0, 2, 3, 4, 0, 6, 0, 8, 0, 0, 11, 0, 13, 14, 0, 0, 0, 0, 0, 0]"
15,"[1, 2, 3, 4, 5, 6, 7, 0, 0, 0, 0, 0, 0, 14, 15, 0, 17, 0, 19, 20]"
16,"[0, 0, 0, 4, 5, 6, 7, 8, 0, 10, 0, 12, 13, 14, 15, 0, 17, 0, 0, 20]"
17,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 15, 0, 17, 18, 19, 20]"
18,"[1, 0, 3, 0, 0, 6, 7, 8, 9, 0, 11, 12, 13, 14, 0, 16, 0, 18, 19, 0]"
19,"[0, 0, 0, 0, 0, 0, 0, 8, 9, 0, 0, 0, 13, 0, 15, 16, 0, 0, 19, 0]"
20,"[0, 2, 3, 0, 5, 6, 0, 8, 9, 0, 0, 12, 0, 14, 0, 0, 0, 0, 0, 20]"
21,"[0, 0, 0, 4, 0, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 18, 0, 0]"
22,"[1, 0, 0, 0, 0, 6, 0, 8, 0, 0, 11, 0, 13, 0, 0, 16, 17, 18, 0, 0]"
23,"[0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 12, 13, 14, 0, 0, 0, 18, 19, 0]"
24,"[1, 0, 3, 0, 0, 6, 7, 0, 0, 10, 0, 12, 0, 14, 0, 0, 0, 18, 19, 20]"
25,"[0, 2, 0, 0, 5, 0, 0, 0, 0, 0, 11, 0, 0, 14, 15, 16, 17, 18, 0, 0]"
26,"[1, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 13, 0, 15, 0, 0, 0, 0, 20]"
27,"[1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0]"
28,"[0, 0, 3, 4, 0, 0, 7, 0, 0, 10, 11, 0, 0, 0, 15, 0, 0, 0, 19, 20]"
29,"[0, 2, 0, 4, 0, 6, 0, 0, 9, 10, 11, 0, 13, 0, 15, 0, 0, 18, 19, 20]"
30,"[0, 0, 0, 0, 0, 0, 7, 0, 9, 10, 11, 0, 0, 14, 0, 0, 0, 18, 0, 0]"
31,"[0, 0, 3, 0, 5, 0, 0, 8, 0, 10, 0, 0, 13, 14, 0, 16, 0, 18, 19, 0]"
32,"[0, 2, 0, 0, 0, 0, 7, 0, 9, 10, 0, 0, 0, 0, 15, 0, 17, 18, 0, 0]"
33,"[0, 2, 3, 0, 5, 0, 7, 0, 9, 0, 11, 12, 0, 0, 0, 0, 0, 0, 19, 20]"
34,"[0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 12, 13, 0, 0, 16, 0, 18, 0, 20]"
35,"[0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 13, 0, 15, 0, 0, 0, 19, 20]"
36,"[0, 0, 0, 4, 0, 0, 7, 0, 9, 0, 0, 0, 0, 0, 0, 0, 17, 18, 0, 20]"
37,"[1, 0, 3, 0, 5, 0, 7, 0, 9, 0, 11, 12, 0, 14, 15, 16, 17, 18, 0, 0]"
38,"[0, 0, 3, 4, 0, 6, 0, 0, 9, 0, 0, 0, 0, 0, 15, 0, 17, 18, 0, 0]"
39,"[1, 0, 0, 0, 5, 0, 7, 8, 9, 0, 11, 0, 0, 0, 0, 16, 17, 18, 0, 0]"
40,"[1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 11, 12, 0, 14, 0, 16, 0, 18, 19, 20]"
41,"[0, 0, 3, 4, 0, 6, 0, 0, 0, 10, 11, 0, 13, 14, 0, 16, 17, 0, 0, 20]"
42,"[0, 2, 0, 0, 0, 0, 0, 8, 9, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 20]"
43,"[0, 2, 0, 4, 0, 0, 0, 0, 9, 10, 11, 0, 0, 14, 15, 16, 0, 0, 0, 0]"
44,"[1, 0, 0, 4, 0, 0, 0, 8, 9, 0, 11, 0, 0, 14, 0, 0, 0, 0, 0, 20]"
45,"[0, 0, 0, 4, 5, 6, 7, 8, 0, 0, 0, 0, 13, 0, 15, 16, 0, 18, 19, 20]"
46,"[0, 0, 0, 0, 0, 0, 7, 0, 9, 0, 11, 12, 0, 14, 0, 16, 0, 0, 19, 0]"
47,"[1, 2, 3, 4, 5, 0, 0, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20]"
48,"[0, 0, 0, 0, 5, 6, 7, 0, 0, 0, 0, 12, 0, 0, 0, 0, 17, 0, 0, 20]"
49,"[1, 2, 3, 0, 0, 0, 7, 8, 0, 0, 11, 0, 13, 0, 15, 0, 17, 0, 0, 0]"
50,"[0, 0, 0, 0, 5, 6, 0, 8, 0, 10, 11, 0, 13, 0, 15, 0, 17, 0, 0, 0]"
51,"[0, 2, 0, 4, 5, 6, 0, 0, 0, 0, 11, 0, 0, 14, 15, 0, 0, 0, 0, 20]"
52,"[0, 0, 0, 0, 0, 0, 0, 8, 0, 10, 11, 12, 0, 0, 15, 16, 0, 0, 0, 0]"
53,"[0, 2, 0, 4, 0, 0, 0, 0, 9, 0, 11, 0, 13, 0, 0, 0, 0, 0, 0, 20]"
54,"[0, 0, 0, 4, 0, 0, 0, 0, 9, 10, 0, 0, 13, 0, 15, 0, 17, 18, 19, 20]"
55,"[1, 2, 0, 4, 0, 0, 0, 0, 9, 0, 0, 0, 0, 14, 15, 16, 0, 18, 0, 0]"
56,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 19, 20]"
57,"[0, 2, 3, 0, 0, 0, 0, 0, 0, 10, 11, 0, 13, 0, 0, 0, 0, 0, 19, 0]"
58,"[0, 0, 3, 0, 0, 0, 7, 8, 0, 0, 0, 12, 0, 0, 15, 0, 0, 0, 0, 20]"
59,"[0, 0, 3, 4, 5, 6, 0, 0, 9, 10, 11, 12, 0, 0, 0, 0, 17, 0, 19, 0]"
60,"[1, 0, 3, 0, 0, 0, 0, 0, 0, 10, 0, 0, 13, 14, 0, 16, 17, 18, 0, 0]"
61,"[0, 2, 0, 4, 5, 0, 0, 0, 9, 0, 0, 0, 0, 14, 15, 0, 17, 0, 19, 0]"
62,"[0, 0, 3, 0, 0, 6, 7, 8, 0, 10, 0, 12, 0, 0, 15, 16, 0, 0, 0, 0]"
63,"[1, 0, 3, 4, 5, 0, 7, 8, 9, 0, 0, 0, 0, 0, 15, 0, 0, 18, 0, 0]"
64,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 11, 0, 13, 14, 15, 0, 17, 18, 0, 20]"
65,"[0, 2, 3, 0, 0, 0, 0, 0, 9, 10, 0, 0, 0, 14, 0, 0, 17, 0, 0, 0]"
66,"[1, 2, 0, 4, 0, 0, 7, 0, 9, 10, 0, 0, 0, 0, 0, 0, 0, 18, 0, 20]"
67,"[0, 2, 3, 4, 0, 0, 7, 0, 9, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0]"
68,"[0, 0, 0, 4, 5, 0, 7, 8, 0, 0, 0, 0, 0, 0, 15, 0, 17, 18, 19, 20]"
69,"[0, 2, 0, 0, 0, 6, 0, 0, 9, 0, 0, 0, 13, 0, 0, 0, 17, 0, 0, 20]"
70,"[1, 0, 0, 0, 0, 0, 7, 8, 0, 0, 11, 0, 13, 0, 0, 0, 17, 0, 19, 0]"
71,"[0, 0, 0, 0, 5, 0, 0, 8, 9, 10, 0, 0, 0, 0, 0, 16, 17, 18, 0, 20]"
72,"[0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 12, 0, 0, 15, 16, 0, 0, 19, 0]"
73,"[1, 2, 0, 0, 0, 0, 0, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 18, 19, 0]"
74,"[0, 2, 0, 4, 0, 6, 0, 8, 9, 10, 11, 0, 0, 14, 0, 0, 17, 18, 0, 0]"
75,"[1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 11, 12, 13, 0, 15, 16, 17, 0, 0, 20]"
76,"[0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 11, 12, 0, 0, 0, 16, 17, 0, 19, 0]"
77,"[1, 0, 0, 0, 0, 6, 0, 0, 9, 10, 0, 0, 13, 0, 0, 0, 0, 0, 0, 20]"
78,"[0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 12, 0, 14, 0, 0, 17, 0, 0, 20]"
79,"[1, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 12, 13, 0, 15, 0, 0, 18, 19, 0]"
80,"[0, 0, 0, 4, 5, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 16, 0, 18, 19, 0]"
81,"[1, 0, 3, 0, 5, 6, 0, 8, 0, 0, 0, 12, 0, 0, 0, 16, 0, 18, 19, 20]"
82,"[0, 0, 3, 0, 5, 0, 0, 0, 0, 10, 0, 0, 13, 0, 0, 0, 17, 0, 0, 20]"
